group	PeakID (cmd=annotatePeaks.pl Common_optimal.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Common	primary_peak_1231	chr1	134955601	134956274	+	960	NA	promoter-TSS (NM_001081307)	promoter-TSS (NM_001081307)	3	NM_001081307	329251	Mm.188709	NM_001081307	ENSMUSG00000073557	Ppp1r12b	1810037O03Rik|9530009M10Rik|AI132431|Mypt2	protein phosphatase 1, regulatory subunit 12B	protein-coding
Common	primary_peak_31084	chr9	21014730	21016080	+	960	NA	promoter-TSS (NM_010493)	promoter-TSS (NM_010493)	-555	NM_010493	15894	Mm.435508	NM_010493	ENSMUSG00000037405	Icam1	CD54|Icam-1|Ly-47|MALA-2	intercellular adhesion molecule 1	protein-coding
Common	primary_peak_731	chr1	84839256	84840193	+	959	NA	promoter-TSS (NM_133975)	promoter-TSS (NM_133975)	-117	NM_025386	66153	Mm.381192	NM_025386	ENSMUSG00000073633	Fbxo36	0610008D19Rik|1110020F21Rik|2410002G19Rik|D1Ertd757e	F-box protein 36	protein-coding
Common	primary_peak_4863	chr11	65806465	65807544	+	959	NA	promoter-TSS (NM_026107)	promoter-TSS (NM_026107)	-240	NM_026107	52712	Mm.340052	NM_026107	ENSMUSG00000018347	Zkscan6	1700128E15Rik|D11Ertd714e|KOX11|Zfp535|Znf18	zinc finger with KRAB and SCAN domains 6	protein-coding
Common	primary_peak_9532	chr14	31435624	31436386	+	959	NA	promoter-TSS (NM_011894)	promoter-TSS (NM_011894)	28	NM_011894	24056	Mm.383198	NM_011894	ENSMUSG00000021892	Sh3bp5	AI606498|SH3BP-5|Sab	SH3-domain binding protein 5 (BTK-associated)	protein-coding
Common	primary_peak_21288	chr4	40722060	40723362	+	959	NA	promoter-TSS (NR_029594)	promoter-TSS (NR_029594)	130	NR_077226	622208	Mm.471544	NR_077221		Gm6297	-	predicted gene 6297	ncRNA
Common	primary_peak_15586	chr18	80169113	80170272	+	959	NA	Intergenic	Intergenic	-18210	NM_175028	240442	Mm.26594	NM_175028	ENSMUSG00000053950	Adnp2	8430420L05Rik|BC024969|Kiaa0863|Zfp508|mKIAA0863	ADNP homeobox 2	protein-coding
Common	primary_peak_13808	chr17	35120952	35121784	+	958	NA	promoter-TSS (NM_001128597)	promoter-TSS (NM_001128597)	79	NM_009975	13001	Mm.378901	NM_009975	ENSMUSG00000024387	Csnk2b	CK II beta	casein kinase 2, beta polypeptide	protein-coding
Common	primary_peak_3146	chr10	78574205	78575302	+	958	NA	intron (NM_173751, intron 1 of 15)	CpG	253	NM_173751	216136	Mm.2644	NM_173751	ENSMUSG00000032763	Ilvbl	5830463I21|AI415009	ilvB (bacterial acetolactate synthase)-like	protein-coding
Common	primary_peak_17911	chr2	91182801	91184077	+	958	NA	promoter-TSS (NM_001177719)	promoter-TSS (NM_001177719)	-392	NM_001177719	228355	Mm.36410	NM_145527	ENSMUSG00000040687	Madd	9630059K23Rik|IG20	MAP-kinase activating death domain	protein-coding
Common	primary_peak_18562	chr2	144011049	144011653	+	958	NA	promoter-TSS (NM_133626)	promoter-TSS (NM_133626)	-88	NM_133626	81910	Mm.13705	NM_024281	ENSMUSG00000027422	Rrbp1	1700087N07Rik|5730465C04Rik|ES/130|mKIAA1398|mRRp0|mRRp1.8|mRRp10|mRRp15a|mRRp15b|mRRp16.8|mRRp2|mRRp41|mRRp47|mRRp5.4|p180	ribosome binding protein 1	protein-coding
Common	primary_peak_13808-2	chr17	35121785	35122084	+	958	NA	promoter-TSS (NM_009975)	promoter-TSS (NM_009975)	438	NM_001128597	81845	Mm.7405	NM_032460	ENSMUSG00000092417	Gpank1	Bat-4|Bat4|D17H6S54E|G5	G patch domain and ankyrin repeats 1	protein-coding
Common	primary_peak_23405	chr5	31192744	31193607	+	957	NA	promoter-TSS (NM_010122)	promoter-TSS (NM_010122)	-36	NM_001127355	13667	Mm.29394	NM_010122	ENSMUSG00000029145	Eif2b4	Eif2b	eukaryotic translation initiation factor 2B, subunit 4 delta	protein-coding
Common	primary_peak_5091	chr11	72795709	72796335	+	957	NA	promoter-TSS (NM_001045536)	promoter-TSS (NM_001045536)	-183	NM_001024926	192986	Mm.194755	NM_001024926	ENSMUSG00000057778	Cyb5d2	9330151E16Rik|Gm2	cytochrome b5 domain containing 2	protein-coding
Common	primary_peak_26551	chr6	120038010	120039174	+	957	NA	promoter-TSS (NM_001185021)	promoter-TSS (NM_001185021)	63	NM_001185021	232341	Mm.333349	NM_198703	ENSMUSG00000045962	Wnk1	6430573H23Rik|EG406236|Hsn2|Prkwnk1|mKIAA0344	WNK lysine deficient protein kinase 1	protein-coding
Common	primary_peak_31129	chr9	22084956	22085829	+	957	NA	promoter-TSS (NM_012029)	promoter-TSS (NM_012029)	35	NM_001253897	26940	Mm.425568	NM_012029	ENSMUSG00000066839	Ecsit	Sitpec	ECSIT signalling integrator	protein-coding
Common	primary_peak_27096	chr7	3692843	3694092	+	957	NA	promoter-TSS (NM_029934)	promoter-TSS (NM_029934)	58	NM_029934	77582	Mm.397541	NM_029934	ENSMUSG00000035596	Mboat7	5730589L02Rik|BB1|LPLAT 7|Leng4|Lpiat|Lpiat1|m-mboa-7	membrane bound O-acyltransferase domain containing 7	protein-coding
Common	primary_peak_28150	chr7	79659703	79660386	+	957	NA	promoter-TSS (NM_029835)	promoter-TSS (NM_029835)	-152	NM_029835	77011	Mm.28132	NM_029835	ENSMUSG00000046591	Ticrr	5730590G19Rik|BC028450|Lrrk1	TOPBP1-interacting checkpoint and replication regulator	protein-coding
Common	primary_peak_18263	chr2	121413283	121414306	+	957	NA	promoter-TSS (NM_007952)	promoter-TSS (NM_007952)	-2	NM_153075	212670	Mm.384318	NM_153075	ENSMUSG00000033486	Catsper2	-	cation channel, sperm associated 2	protein-coding
Common	primary_peak_16792	chr2	10079798	10080955	+	956	NA	promoter-TSS (NM_025280)	promoter-TSS (NM_025280)	134	NM_001112738	11949	Mm.12677	NM_020615	ENSMUSG00000025781	Atp5c1	1700094F02Rik|Atp5f1c	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	protein-coding
Common	primary_peak_3226	chr10	80602680	80603442	+	956	NA	intron (NM_019575, intron 1 of 6)	CpG	179	NM_019575	56214	Mm.273170	NM_019575	ENSMUSG00000113949	Scamp4	2410022D05Rik|AI448940|AU022392|AW742369|Sc4	secretory carrier membrane protein 4	protein-coding
Common	primary_peak_14751	chr18	9957733	9958658	+	956	NA	promoter-TSS (NM_153552)	promoter-TSS (NM_153552)	15	NM_153552	225160	Mm.219648	NM_153552	ENSMUSG00000024287	Thoc1	3110002N20Rik|AW107452|NMP-84	THO complex 1	protein-coding
Common	primary_peak_17747	chr2	73892121	73893228	+	956	NA	promoter-TSS (NM_009715)	promoter-TSS (NM_009715)	-35	NM_001284372	11909	Mm.209903	NM_009715	ENSMUSG00000027104	Atf2	Atf-2|CRE-BP|Creb2|D130078H02Rik|D18875|Tg(Gzma-Klra1)7Wum|mXBP	activating transcription factor 2	protein-coding
Common	primary_peak_14364	chr17	73107244	73108303	+	956	NA	promoter-TSS (NM_001081071)	promoter-TSS (NM_001081071)	-212	NM_001177967	225010	Mm.329194	NM_001081071	ENSMUSG00000054469	Lclat1	AI181996|Agpat8|Alcat1|Gm91|Lycat	lysocardiolipin acyltransferase 1	protein-coding
Common	primary_peak_14364-2	chr17	73108304	73108452	+	956	NA	intron (NM_001081071, intron 1 of 5)	CpG	393	NM_001081071	225010	Mm.329194	NM_001081071	ENSMUSG00000054469	Lclat1	AI181996|Agpat8|Alcat1|Gm91|Lycat	lysocardiolipin acyltransferase 1	protein-coding
Common	primary_peak_5521	chr11	88954852	88955661	+	956	NA	intron (NM_029023, intron 1 of 12)	CpG	186	NM_029023	74617	Mm.34126	NM_029023	ENSMUSG00000000278	Scpep1	2410018F01Rik|4833411K15Rik|AI957256|Risc	serine carboxypeptidase 1	protein-coding
Common	primary_peak_9572	chr14	33446723	33447567	+	955	NA	promoter-TSS (NM_016700)	promoter-TSS (NM_016700)	13	NM_016700	26419	Mm.21495	NM_016700	ENSMUSG00000021936	Mapk8	AI849689|JNK|JNK1|Prkm8|SAPK1	mitogen-activated protein kinase 8	protein-coding
Common	primary_peak_8608	chr13	64369814	64370884	+	955	NA	promoter-TSS (NM_009984)	promoter-TSS (NM_009984)	-43	NM_009984	13039	Mm.930	NM_009984	ENSMUSG00000021477	Ctsl	1190035F06Rik|CatL|Ctsl1|MEP|fs|nkt	cathepsin L	protein-coding
Common	primary_peak_23005	chr4	150281071	150281730	+	955	NA	promoter-TSS (NM_001085492)	promoter-TSS (NM_001085492)	-516	NM_001085492	68703	Mm.291274	NM_001085492	ENSMUSG00000039852	Rere	1110033A15Rik|AI414665|ARG|ARP|ATN1L|AW742570|Atr2|DNB1|eye<m03Jus>|eyes3|mKIAA0458	arginine glutamic acid dipeptide (RE) repeats	protein-coding
Common	primary_peak_23005-2	chr4	150281731	150282090	+	955	NA	promoter-TSS (NM_001085492)	promoter-TSS (NM_001085492)	-6	NM_001085492	68703	Mm.291274	NM_001085492	ENSMUSG00000039852	Rere	1110033A15Rik|AI414665|ARG|ARP|ATN1L|AW742570|Atr2|DNB1|eye<m03Jus>|eyes3|mKIAA0458	arginine glutamic acid dipeptide (RE) repeats	protein-coding
Common	primary_peak_4999	chr11	70020770	70021809	+	955	NA	intron (NM_001109752, intron 1 of 19)	intron (NM_001109752, intron 1 of 19)	2684	NM_007864	13385	Mm.27256	NM_007864	ENSMUSG00000020886	Dlg4	Dlgh4|PSD-95|PSD95|SAP90|SAP90A	discs large MAGUK scaffold protein 4	protein-coding
Common	primary_peak_33034	chrX	94366647	94367237	+	955	NA	promoter-TSS (NM_001199339)	promoter-TSS (NM_001199339)	-168	NM_026673	68316	Mm.379156	NM_026673	ENSMUSG00000079508	Apoo	0610008C08Rik|1110019O03Rik|Micos26	apolipoprotein O	protein-coding
Common	primary_peak_20190	chr3	95159811	95160880	+	954	NA	promoter-TSS (NM_001272024)	promoter-TSS (NM_001272024)	-75	NR_073549	20360	Mm.23662	NM_011351	ENSMUSG00000038777	Sema6c	Semay|mKIAA1869	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	protein-coding
Common	primary_peak_933	chr1	94034919	94035705	+	954	NA	Intergenic	Intergenic	14819	NM_173772	241159	Mm.214565	NM_173772	ENSMUSG00000034000	Neu4	9330166I04	sialidase 4	protein-coding
Common	primary_peak_25773	chr6	54116911	54117632	+	954	NA	intron (NM_001163640, intron 1 of 12)	intron (NM_001163640, intron 1 of 12)	77339	NM_001163640	69993	Mm.321147	NM_023543	ENSMUSG00000004633	Chn2	1700026N20Rik|4930557O16Rik|ARHGAP3|Bch	chimerin 2	protein-coding
Common	primary_peak_20480	chr3	107696087	107696891	+	954	NA	promoter-TSS (NM_145542)	promoter-TSS (NM_145542)	59	NM_145542	229709	Mm.220328	NM_145542	ENSMUSG00000027893	Ahcyl1	1110034F20Rik|AA409031|AA414901|Ahcy-rs3|DCAL|Irbit	S-adenosylhomocysteine hydrolase-like 1	protein-coding
Common	primary_peak_29382	chr8	14089954	14090746	+	954	NA	promoter-TSS (NM_001034862)	promoter-TSS (NM_001034862)	-23	NM_001034862	234086	Mm.268896	NM_001034862	ENSMUSG00000051978	Erich1	-	glutamate rich 1	protein-coding
Common	primary_peak_19402	chr3	16182927	16183833	+	953	NA	non-coding (NR_027375, exon 1 of 6)	non-coding (NR_027375, exon 1 of 6)	197	NR_027375	229096	Mm.23834	NM_172677	ENSMUSG00000047213	Ythdf3	9130022A11Rik	YTH N6-methyladenosine RNA binding protein 3	protein-coding
Common	primary_peak_23218	chr5	8996629	8997734	+	953	NA	promoter-TSS (NM_023733)	promoter-TSS (NM_023733)	-35	NM_023733	74114	Mm.28197	NM_023733	ENSMUSG00000003623	Crot	1200003H03Rik	carnitine O-octanoyltransferase	protein-coding
Common	primary_peak_6477	chr12	4082411	4083273	+	953	NA	exon (NM_153082, exon 1 of 7)	exon (NM_153082, exon 1 of 7)	268	NM_153082	217378	Mm.271656	NM_153082	ENSMUSG00000020657	Dnajc27	AI639580|C330021A05Rik|Rabj|Rbj	DnaJ heat shock protein family (Hsp40) member C27	protein-coding
Common	primary_peak_4094	chr11	5761926	5762591	+	953	NA	5' UTR (NM_001077661, exon 1 of 6)	5' UTR (NM_001077661, exon 1 of 6)	108	NR_015577	76508	Mm.260203	NR_015577	ENSMUSG00000083844	Ube2d-ps	1600028I17Rik|2210015D19Rik|AI596465	ubiquitin-conjugating enzyme E2D, pseudogene	ncRNA
Common	primary_peak_12922	chr16	90809902	90810729	+	953	NA	promoter-TSS (NM_029497)	promoter-TSS (NM_029497)	98	NM_029497	207932	Mm.328688	NM_029497	ENSMUSG00000039929	Urb1	4921511H13Rik|5730405K23Rik|AA670781|AI645590|mKIAA0539	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)	protein-coding
Common	primary_peak_20136	chr3	90253710	90254808	+	953	NA	promoter-TSS (NM_028881)	promoter-TSS (NM_028881)	-22	NM_028881	74343	Mm.35627	NM_028881	ENSMUSG00000027936	Crtc2	4632407F12Rik|Torc2	CREB regulated transcription coactivator 2	protein-coding
Common	primary_peak_27370	chr7	24399368	24400103	+	953	NA	5' UTR (NM_028047, exon 1 of 14)	5' UTR (NM_028047, exon 1 of 14)	107	NM_028047	71997	Mm.150977	NM_028047	ENSMUSG00000002210	Smg9	1500002O20Rik|AI429693|N28092	smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)	protein-coding
Common	primary_peak_25994	chr6	83077993	83078854	+	952	NA	promoter-TSS (NM_197992)	promoter-TSS (NM_197992)	33	NM_197992	69837	Mm.12261	NM_197992	ENSMUSG00000069678	Pcgf1	2010002K04Rik|AU024121|Nspc1	polycomb group ring finger 1	protein-coding
Common	primary_peak_4652	chr11	54955602	54956446	+	952	NA	5' UTR (NM_001199275, exon 2 of 19)	5' UTR (NM_001199275, exon 2 of 19)	6916	NM_001271456	57783	Mm.259671	NM_021327	ENSMUSG00000020400	Tnip1	ABIN|ABIN-1|ABIN1|AU018810|Naf1|Nef|VAN	TNFAIP3 interacting protein 1	protein-coding
Common	primary_peak_11362	chr15	81729840	81730280	+	952	NA	promoter-TSS (NM_001146174)	promoter-TSS (NM_001146174)	-141	NM_001146174	19387	Mm.270975	NM_011241	ENSMUSG00000022391	Rangap1	C79654|Fug1|mKIAA1835	RAN GTPase activating protein 1	protein-coding
Common	primary_peak_27577	chr7	30308449	30309348	+	952	NA	TTS (NM_001081114)	TTS (NM_001081114)	145	NM_198027	233065	Mm.276277	NM_198027	ENSMUSG00000042831	Alkbh6	AI839550|Abh6|C130099A02	alkB homolog 6	protein-coding
Common	primary_peak_14341	chr17	71474922	71476061	+	952	NA	promoter-TSS (NM_028887)	promoter-TSS (NM_028887)	-148	NM_028887	74355	Mm.194450	NM_028887	ENSMUSG00000024054	Smchd1	4931400A14Rik|AW554188|MommeD1|mKIAA0650	SMC hinge domain containing 1	protein-coding
Common	primary_peak_27553	chr7	29518201	29519120	+	951	NA	Intergenic	CpG	-13200	NM_001081028	74206	Mm.447042	NM_001081028	ENSMUSG00000030583	Sipa1l3	2610511M17Rik	signal-induced proliferation-associated 1 like 3	protein-coding
Common	primary_peak_19615	chr3	40949217	40949965	+	951	NA	Intergenic	CpG	-1040	NM_001040399	214048	Mm.46782	NM_027663	ENSMUSG00000025762	Larp1b	1700108L22Rik|4933421B21Rik|AA690246|Larp2	La ribonucleoprotein domain family, member 1B	protein-coding
Common	primary_peak_15903	chr19	7217209	7217928	+	951	NA	promoter-TSS (NM_007750)	promoter-TSS (NM_007750)	48	NM_007750	12868	Mm.14022	NM_007750	ENSMUSG00000035885	Cox8a	COX8L	cytochrome c oxidase subunit 8A	protein-coding
Common	primary_peak_20595	chr3	121171275	121171935	+	951	NA	promoter-TSS (NM_028456)	promoter-TSS (NM_028456)	90	NM_028456	66568	Mm.263163	NM_025637	ENSMUSG00000028133	Rwdd3	2510027J23Rik|3110037C01Rik|AI035684|AI662458|Rsume|X2CR1	RWD domain containing 3	protein-coding
Common	primary_peak_24599	chr5	123749013	123749716	+	951	NA	promoter-TSS (NM_001042421)	promoter-TSS (NM_001042421)	50	NM_001005525	208606	Mm.276341	NM_025438	ENSMUSG00000029422	Rsrc2	1500011J06Rik	arginine/serine-rich coiled-coil 2	protein-coding
Common	primary_peak_1783	chr1	171502511	171504157	+	950	NA	promoter-TSS (NM_019484)	promoter-TSS (NM_019484)	-144	NM_019484	56009	Mm.389208	NM_019484	ENSMUSG00000060244	Alyref2	C130042O11Rik|REF2|Refbp2	Aly/REF export factor 2	protein-coding
Common	primary_peak_5327	chr11	79992530	79993466	+	950	NA	promoter-TSS (NM_001163018)	promoter-TSS (NM_001163018)	-108	NM_001163018	52615	Mm.283410	NM_199196	ENSMUSG00000017548	Suz12	2610028O16Rik|AI195385|AU016842|AW536442|D11Ertd530e|mKIAA0160	SUZ12 polycomb repressive complex 2 subunit	protein-coding
Common	primary_peak_14713	chr18	5334035	5335002	+	949	NA	promoter-TSS (NM_178722)	promoter-TSS (NM_178722)	-79	NM_178722	240186	Mm.118257	NM_178722	ENSMUSG00000050945	Zfp438	9430031G09|9430091M14Rik|B830013J05Rik	zinc finger protein 438	protein-coding
Common	primary_peak_28958	chr7	127967064	127967965	+	949	NA	promoter-TSS (NM_139149)	promoter-TSS (NM_139149)	35	NM_139149	233908	Mm.277680	NM_139149	ENSMUSG00000030795	Fus	D430004D17Rik|D930039C12Rik|Fus1|Tls	fused in sarcoma	protein-coding
Common	primary_peak_28352	chr7	92741063	92742004	+	949	NA	promoter-TSS (NR_015510)	promoter-TSS (NR_015510)	-74	NR_015510	666737	Mm.473620	NR_015510	ENSMUSG00000074024	4632427E13Rik	AU015482	RIKEN cDNA 4632427E13 gene	ncRNA
Common	primary_peak_29549	chr8	33385026	33385974	+	949	NA	promoter-TSS (NM_001098233)	promoter-TSS (NM_001098233)	27	NM_001122822	22427	Mm.228805	NM_011721	ENSMUSG00000031583	Wrn	AI846146	Werner syndrome RecQ like helicase	protein-coding
Common	primary_peak_14428	chr17	78834902	78835946	+	949	NA	promoter-TSS (NM_181649)	promoter-TSS (NM_181649)	-43	NM_001081179	320473	Mm.46309	NM_028084	ENSMUSG00000039414	Heatr5b	2010013B10Rik|A230048G03Rik|AV071430|D330050P16Rik|mKIAA1414	HEAT repeat containing 5B	protein-coding
Common	primary_peak_13261	chr17	12991696	12993016	+	948	NA	promoter-TSS (NM_001113533)	promoter-TSS (NM_001113533)	-97	NM_001113532	60532	Mm.275521	NM_175394	ENSMUSG00000060475	Wtap	2810408K05Rik|9430038B09Rik	Wilms tumour 1-associating protein	protein-coding
Common	primary_peak_20227	chr3	95818690	95819290	+	948	NA	promoter-TSS (NM_001081293)	promoter-TSS (NM_001081293)	-37	NM_001081293	75137	Mm.196275	NM_028328	ENSMUSG00000028106	Rprd2	2810036A19Rik|4930535B03Rik|6720469I21Rik|AL022841|AL022940|AU021304|BB077382|mKIAA0460	regulation of nuclear pre-mRNA domain containing 2	protein-coding
Common	primary_peak_30011	chr8	78820649	78821293	+	947	NA	intron (NM_001191004, intron 1 of 4)	CpG	181	NM_030145	78651	Mm.28694	NM_030145	ENSMUSG00000031683	Lsm6	1500031N17Rik|2410088K19Rik|AI747288	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	protein-coding
Common	primary_peak_22816	chr4	141139410	141140004	+	947	NA	promoter-TSS (NM_001025608)	promoter-TSS (NM_001025608)	89	NM_001277195	213491	Mm.332006	NM_174996	ENSMUSG00000040842	Szrd1	1110022I03|D4Ertd22e	SUZ RNA binding domain containing 1	protein-coding
Common	primary_peak_15982	chr19	10605293	10606033	+	947	NA	promoter-TSS (NM_015735)	promoter-TSS (NM_015735)	38	NM_015735	13194	Mm.289915	NM_015735	ENSMUSG00000024740	Ddb1	127kDa|AA408517|p127-Ddb1	damage specific DNA binding protein 1	protein-coding
Common	primary_peak_31042	chr9	15357327	15358291	+	947	NA	promoter-TSS (NM_176976)	promoter-TSS (NM_176976)	-21	NM_176976	319675	Mm.218317	NM_176976	ENSMUSG00000046111	Cep295	5830418K08Rik|5832426L23Rik|Gm1131|Kiaa1731	centrosomal protein 295	protein-coding
Common	primary_peak_21287	chr4	40702817	40703657	+	947	NA	promoter-TSS (NM_001025444)	promoter-TSS (NM_001025444)	-43	NM_001025444	66408	Mm.430710	NM_025545	ENSMUSG00000028411	Aptx	2410016G21Rik|AA388047|FHA-HIT	aprataxin	protein-coding
Common	primary_peak_32154	chr9	98985917	98986928	+	947	NA	promoter-TSS (NM_011810)	promoter-TSS (NM_011810)	49	NM_001122851	23873	Mm.74605	NM_011810	ENSMUSG00000032463	Faim	-	Fas apoptotic inhibitory molecule	protein-coding
Common	primary_peak_9681	chr14	49065982	49066891	+	947	NA	promoter-TSS (NM_144535)	promoter-TSS (NM_144535)	-59	NM_144535	74385	Mm.379235	NM_144535	ENSMUSG00000036291	Ap5m1	4932432K03Rik|Mu5|Mudeng	adaptor-related protein complex 5, mu 1 subunit	protein-coding
Common	primary_peak_31051	chr9	16215155	16215978	+	946	NA	intron (NM_001080814, intron 2 of 24)	intron (NM_001080814, intron 2 of 24)	162665	NM_001080814	270120	Mm.195010	NM_001080814	ENSMUSG00000074505	Fat3	9430076A06Rik|D430038H04Rik|Gm1132|Gm510|MFAT3F	FAT atypical cadherin 3	protein-coding
Common	primary_peak_17018	chr2	25546549	25547270	+	946	NA	promoter-TSS (NM_009422)	promoter-TSS (NM_009422)	31	NM_009422	22030	Mm.3399	NM_009422	ENSMUSG00000026942	Traf2	AI325259	TNF receptor-associated factor 2	protein-coding
Common	primary_peak_17006	chr2	25262316	25263238	+	946	NA	exon (NM_175286, exon 1 of 4)	exon (NM_175286, exon 1 of 4)	179	NM_175286	97031	Mm.308539	NM_175286	ENSMUSG00000048707	Tprn	C430004E15Rik|C87750	taperin	protein-coding
Common	primary_peak_23105-2	chr4	155066581	155067223	+	946	NA	promoter-TSS (NM_001042407)	promoter-TSS (NM_001042407)	-128	NM_001042407	668173	Mm.133114	NM_001042407	ENSMUSG00000029047	Pex10	AV128229|Gm142	peroxisomal biogenesis factor 10	protein-coding
Common	primary_peak_658	chr1	75124576	75125397	+	946	NA	TTS (NM_194333)	TTS (NM_194333)	8904	NM_194333	22626	Mm.68157	NM_194333	ENSMUSG00000026205	Slc23a3	SVCT3|Yspl1	solute carrier family 23 (nucleobase transporters), member 3	protein-coding
Common	primary_peak_23105	chr4	155066035	155066580	+	946	NA	promoter-TSS (NM_001042407)	promoter-TSS (NM_001042407)	-723	NM_001042407	668173	Mm.133114	NM_001042407	ENSMUSG00000029047	Pex10	AV128229|Gm142	peroxisomal biogenesis factor 10	protein-coding
Common	primary_peak_15116	chr18	44827787	44829129	+	945	NA	promoter-TSS (NM_001163013)	promoter-TSS (NM_001163013)	-207	NM_001163013	240255	Mm.244482	NM_001163013	ENSMUSG00000034653	Ythdc2	3010002F02Rik|BC037178|mYTHDC2	YTH domain containing 2	protein-coding
Common	primary_peak_21722	chr4	83524813	83526007	+	945	NA	promoter-TSS (NM_001081012)	promoter-TSS (NM_001081012)	-135	NM_001081012	320226	Mm.180032	NM_029117	ENSMUSG00000052407	Ccdc171	4930418J05Rik|4930473A06Rik|A330015D16Rik	coiled-coil domain containing 171	protein-coding
Common	primary_peak_15820	chr19	5688462	5689184	+	945	NA	promoter-TSS (NM_022012)	promoter-TSS (NM_022012)	85	NM_144868	104401	Mm.329650	NM_144868	ENSMUSG00000054874	Pcnx3	Pcnxl3|mKIAA4073	pecanex homolog 3	protein-coding
Common	primary_peak_9692	chr14	50807374	50808053	+	945	NA	promoter-TSS (NM_009632)	promoter-TSS (NM_009632)	58	NR_002142	85029		NR_002142	ENSMUSG00000092837	Rpph1	Gm24821|H1RNA|Rmrp5|Rpr	ribonuclease P RNA component H1	ncRNA
Common	primary_peak_9261	chr14	8080184	8081132	+	944	NA	intron (NM_025938, intron 1 of 5)	CpG	345	NM_025938	67053	Mm.210048	NM_025938	ENSMUSG00000023156	Rpp14	2610511E03Rik|AA682089	ribonuclease P 14 subunit	protein-coding
Common	primary_peak_26405	chr6	113045996	113046712	+	944	NA	promoter-TSS (NM_008188)	promoter-TSS (NM_008188)	27	NM_008188	14911	Mm.781	NM_008188	ENSMUSG00000030264	Thumpd3	AW556087|Gt(ROSA)26asSor|Gtrosa26as	THUMP domain containing 3	protein-coding
Common	primary_peak_26934	chr6	136689790	136690465	+	944	NA	Intergenic	Intergenic	-28234	NM_025806	66857	Mm.3311	NM_025806	ENSMUSG00000030214	Plbd1	1100001H23Rik	phospholipase B domain containing 1	protein-coding
Common	primary_peak_7160	chr12	81719190	81720081	+	944	NA	3' UTR (NM_001174107, exon 11 of 11)	3' UTR (NM_001174107, exon 11 of 11)	61535	NM_001174107	338372	Mm.35284	NM_177395	ENSMUSG00000042724	Map3k9	E130314H24Rik|Mlk1|Prke1	mitogen-activated protein kinase kinase kinase 9	protein-coding
Common	primary_peak_26934-2	chr6	136690466	136690711	+	944	NA	Intergenic	Intergenic	-28695	NM_025806	66857	Mm.3311	NM_025806	ENSMUSG00000030214	Plbd1	1100001H23Rik	phospholipase B domain containing 1	protein-coding
Common	primary_peak_8267	chr13	45108821	45109432	+	942	NA	Intergenic	Intergenic	-107030	NM_025772	94245	Mm.352311	NM_025772	ENSMUSG00000057531	Dtnbp1	5430437B18Rik|AW048963|Bloc1s8|dysbindin|sdy	dystrobrevin binding protein 1	protein-coding
Common	primary_peak_16749	chr2	5894980	5895846	+	942	NA	promoter-TSS (NM_021305)	promoter-TSS (NM_021305)	-60	NM_021305	57743	Mm.21435	NM_021305	ENSMUSG00000025816	Sec61a2	-	Sec61, alpha subunit 2 (S. cerevisiae)	protein-coding
Common	primary_peak_31850	chr9	66059729	66060573	+	942	NA	promoter-TSS (NM_011149)	promoter-TSS (NM_011149)	-18	NM_011149	19035	Mm.335249	NM_011149	ENSMUSG00000032383	Ppib	AA408962|AA553318|AI844835|Cphn-2|Cphn2|CyP-20b	peptidylprolyl isomerase B	protein-coding
Common	primary_peak_10752	chr15	37007237	37007918	+	942	NA	promoter-TSS (NM_026521)	promoter-TSS (NM_026521)	-175	NM_026521	68036	Mm.371631	NM_026521	ENSMUSG00000062397	Zfp706	3110006P09Rik|AA793007|AW536850|C77232|Znf706	zinc finger protein 706	protein-coding
Common	primary_peak_3667	chr10	111164247	111165713	+	941	NA	5' UTR (NM_001003717, exon 1 of 23)	5' UTR (NM_001003717, exon 1 of 23)	178	NM_175489	237542	Mm.220204	NM_175489	ENSMUSG00000020189	Osbpl8	AA536976|AA536995|C730029P18Rik|D330025H14Rik|ORP-8	oxysterol binding protein-like 8	protein-coding
Common	primary_peak_5604	chr11	95259122	95259849	+	941	NA	Intergenic	CpG	-2044	NM_053093	93670	Mm.40085	NM_053093	ENSMUSG00000020872	Tac4	AW489379|PPT-C	tachykinin 4	protein-coding
Common	primary_peak_12697	chr16	55894858	55895727	+	941	NA	promoter-TSS (NM_001134457)	promoter-TSS (NM_001134457)	-13	NM_001134457	385658	Mm.310635	NM_001134457	ENSMUSG00000075033	Nxpe3	Fam55c|Gm1752|Gm611	neurexophilin and PC-esterase domain family, member 3	protein-coding
